"material","provider","thickness","length","width","display","sheet_cost"
"Aluminum 7075-T6","online-metals",0.09,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.090",54.25
"Aluminum 7075-T6","online-metals",0.09,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.090",43.39
"Aluminum 7075-T6","online-metals",0.09,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.090",33.75
"Aluminum 7075-T6","online-metals",0.09,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.090",17.47
"Aluminum 7075-T6","online-metals",0.08,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.080",114.06
"Aluminum 7075-T6","online-metals",0.08,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.080",99.69
"Aluminum 7075-T6","online-metals",0.08,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.080",88.62
"Aluminum 7075-T6","online-metals",0.08,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.080",68.01
"Aluminum 7075-T6","online-metals",0.08,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.080",46.37
"Aluminum 7075-T6","online-metals",0.08,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.080",46.37
"Aluminum 7075-T6","online-metals",0.08,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.080",37.09
"Aluminum 7075-T6","online-metals",0.08,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.080",28.85
"Aluminum 7075-T6","online-metals",0.08,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.080",14.94
"Aluminum 7075-T6","online-metals",0.071,48,36,"Aluminum 7075-T6-L-48.000-W-36.000-T-0.071",108.84
"Aluminum 7075-T6","online-metals",0.071,36,36,"Aluminum 7075-T6-L-36.000-W-36.000-T-0.071",95.12
"Aluminum 7075-T6","online-metals",0.071,48,24,"Aluminum 7075-T6-L-48.000-W-24.000-T-0.071",84.56
"Aluminum 7075-T6","online-metals",0.071,36,24,"Aluminum 7075-T6-L-36.000-W-24.000-T-0.071",64.89
"Aluminum 7075-T6","online-metals",0.071,24,24,"Aluminum 7075-T6-L-24.000-W-24.000-T-0.071",44.24
"Aluminum 7075-T6","online-metals",0.071,48,12,"Aluminum 7075-T6-L-48.000-W-12.000-T-0.071",44.24
"Aluminum 7075-T6","online-metals",0.071,36,12,"Aluminum 7075-T6-L-36.000-W-12.000-T-0.071",35.39
"Aluminum 7075-T6","online-metals",0.071,24,12,"Aluminum 7075-T6-L-24.000-W-12.000-T-0.071",27.53
"Aluminum 7075-T6","online-metals",0.071,12,12,"Aluminum 7075-T6-L-12.000-W-12.000-T-0.071",14.26
